April,1854,Infectious Disease,1,1.4
May,1854,Infectious Disease,12,6.2
June,1854,Infectious Disease,11,4.7
July,1854,Infectious Disease,359,150
August,1854,Infectious Disease,828,328.5
September,1854,Infectious Disease,788,312.2
October,1854,Infectious Disease,503,197
November,1854,Infectious Disease,844,340.6
December,1854,Infectious Disease,1725,631.5
January,1855,Infectious Disease,2761,1022.8
February,1855,Infectious Disease,2120,822.8
March,1855,Infectious Disease,1205,480.3
April,1855,Infectious Disease,477,177.5
May,1855,Infectious Disease,508,171.8
June,1855,Infectious Disease,802,247.6
July,1855,Infectious Disease,382,107.5
August,1855,Infectious Disease,483,129.9
September,1855,Infectious Disease,189,47.5
October,1855,Infectious Disease,128,32.8
November,1855,Infectious Disease,178,56.4
December,1855,Infectious Disease,91,25.3
January,1856,Infectious Disease,42,11.4
February,1856,Infectious Disease,24,6.6
March,1856,Infectious Disease,15,3.9
April,1854,Wounds and Injuries,9,2.7
May,1854,Wounds and Injuries,15,2.0
June,1854,Wounds and Injuries,37,1.5
July,1854,Wounds and Injuries,69,0.9
August,1854,Wounds and Injuries,1,0.4
September,1854,Wounds and Injuries,81,32.1
October,1854,Wounds and Injuries,132,51.7
November,1854,Wounds and Injuries,287,115.8
December,1854,Wounds and Injuries,114,41.7
January,1855,Wounds and Injuries,83,30.7
February,1855,Wounds and Injuries,42,16.3
March,1855,Wounds and Injuries,32,12.8
April,1855,Wounds and Injuries,48,17.9
May,1855,Wounds and Injuries,49,16.6
June,1855,Wounds and Injuries,209,64.5
July,1855,Wounds and Injuries,134,37.7
August,1855,Wounds and Injuries,164,44.1
September,1855,Wounds and Injuries,276,69.4
October,1855,Wounds and Injuries,53,13.6
November,1855,Wounds and Injuries,33,10.5
December,1855,Wounds and Injuries,18,5
January,1856,Wounds and Injuries,2,0.5
February,1856,Wounds and Injuries,4,11.7
March,1856,Wounds and Injuries,2,12.7
April,1854,All Other Causes,5,7
May,1854,All Other Causes,9,4.6
June,1854,All Other Causes,6,2.5
July,1854,All Other Causes,23,9.6
August,1854,All Other Causes,30,11.9
September,1854,All Other Causes,70,27.7
October,1854,All Other Causes,128,50.1
November,1854,All Other Causes,106,42.8
December,1854,All Other Causes,131,48
January,1855,All Other Causes,324,120
February,1855,All Other Causes,361,140.1
March,1855,All Other Causes,172,68.6
April,1855,All Other Causes,57,21.2
May,1855,All Other Causes,37,12.5
June,1855,All Other Causes,31,9.6
July,1855,All Other Causes,33,9.3
August,1855,All Other Causes,25,6.7
September,1855,All Other Causes,20,5
October,1855,All Other Causes,18,4.6
November,1855,All Other Causes,32,10.1
December,1855,All Other Causes,28,7.8
January,1856,All Other Causes,48,13
February,1856,All Other Causes,19,5.2
March,1856,All Other Causes,55,9.1
